21;NAS;25
22;Carrier;20
23;NAS;15
24;NAS;21
25;NAS;18
26;Carrier;17
27;NAS;15
28;Carrier;12
29;NAS;4
30;LateAircraft;41
31;NAS;131
32;Weather;85
33;NAS;28
34;Carrier;45
35;NAS;16
36;NAS;15
37;NAS;55
38;NAS;97
39;NAS;75
40;Carrier;15
41;LateAircraft;8
42;Carrier;51
43;Carrier;8
44;NAS;7
45;Carrier;15
46;NAS;18
47;NAS;19
48;NAS;23
49;NAS;20
50;NAS;75
51;NAS;53
52;NAS;1
53;LateAircraft;45
54;NAS;18
55;Weather;13
56;NAS;19
57;LateAircraft;9
58;NAS;19
59;Weather;9
60;NAS;17
61;LateAircraft;58
62;Carrier;12
63;LateAircraft;4
64;NAS;18
65;Carrier;10
66;NAS;4
67;LateAircraft;48
68;NAS;93
69;NAS;20
70;NAS;172
71;NAS;52
72;Weather;2
73;LateAircraft;59
74;Carrier;10
75;NAS;4
76;LateAircraft;45
77;LateAircraft;48
78;Carrier;4
79;LateAircraft;84
80;NAS;40
81;Carrier;147
82;LateAircraft;5
83;NAS;15
84;Carrier;17
85;Carrier;38
86;LateAircraft;6
87;Carrier;50
88;Carrier;25
89;Carrier;42
90;NAS;23
91;Carrier;29
92;NAS;11
93;Carrier;25
94;NAS;22
95;NAS;27
96;NAS;71
97;Weather;24
98;NAS;18
99;LateAircraft;180
100;Carrier;31
101;NAS;23
102;Carrier;41
103;NAS;4
104;Carrier;77
105;NAS;15
106;NAS;25
107;NAS;31
108;Carrier;45
109;NAS;60
110;NAS;38
111;Carrier;90
112;NAS;26
113;LateAircraft;78
114;Carrier;27
115;NAS;25
116;NAS;20
117;NAS;21
118;Carrier;16
119;Carrier;39
120;NAS;6
122;NAS;22
124;Carrier;74
125;Carrier;70
126;LateAircraft;34
127;NAS;22
128;NAS;103
129;LateAircraft;86
130;Weather;7
131;LateAircraft;11
132;NAS;31
133;NAS;30
134;Carrier;19
135;NAS;22
136;NAS;122
137;NAS;65
138;LateAircraft;76
139;LateAircraft;52
140;NAS;47
141;NAS;79
142;LateAircraft;3
143;NAS;26
144;LateAircraft;13
145;NAS;2
146;LateAircraft;39
147;NAS;42
148;NAS;47
149;Carrier;21
150;NAS;23
151;NAS;22
152;NAS;128
153;NAS;83
154;NAS;87
155;Weather;11
156;LateAircraft;9
157;Carrier;18
158;LateAircraft;30
159;NAS;10
160;LateAircraft;13
161;NAS;30
162;LateAircraft;16
163;NAS;116
164;NAS;65
165;Weather;4
166;LateAircraft;93
167;Carrier;18
168;LateAircraft;41
169;Carrier;37
170;NAS;16
171;Carrier;10
172;LateAircraft;44
173;NAS;36
174;LateAircraft;5
175;NAS;80
176;NAS;50
177;LateAircraft;1
178;Weather;2
179;LateAircraft;19
180;NAS;8
181;LateAircraft;69
183;NAS;78
184;LateAircraft;13
185;NAS;29
186;Weather;5
187;NAS;5
188;LateAircraft;76
189;NAS;113
190;NAS;3
191;LateAircraft;39
192;NAS;108
193;Weather;6
194;NAS;21
195;LateAircraft;47
196;NAS;23
197;NAS;80
198;NAS;57
199;NAS;18
200;LateAircraft;24
201;NAS;25
202;NAS;100
203;NAS;51
204;Weather;12
205;LateAircraft;63
206;Carrier;20
207;NAS;50
208;NAS;19
209;NAS;70
210;NAS;28
211;LateAircraft;6
212;LateAircraft;18
213;Weather;4
214;LateAircraft;42
215;NAS;28
216;NAS;15
217;Carrier;17
218;NAS;14
219;LateAircraft;98
220;Carrier;94
221;NAS;29
222;Carrier;20
223;NAS;6
224;Carrier;34
225;NAS;6
226;Carrier;8
227;NAS;4
228;LateAircraft;36
229;Carrier;61
230;Carrier;136
231;NAS;45
232;NAS;25
233;NAS;15
234;Weather;14
235;LateAircraft;46
236;NAS;7
237;LateAircraft;88
238;Carrier;52
239;Carrier;4
240;NAS;1
241;LateAircraft;19
242;Carrier;40
243;Carrier;31
244;NAS;4
245;NAS;26
246;Carrier;78
247;LateAircraft;9
248;NAS;19
249;Carrier;39
250;Carrier;12
251;NAS;15
252;LateAircraft;32
253;Carrier;6
254;NAS;10
255;Carrier;37
256;Carrier;19
258;NAS;3
259;LateAircraft;15
260;Carrier;6
261;NAS;9
262;Carrier;238
263;NAS;5
264;Weather;12
265;NAS;5
266;NAS;23
267;NAS;78
268;Carrier;39
269;LateAircraft;5
270;Carrier;18
271;NAS;24
272;LateAircraft;12
274;Carrier;25
275;NAS;1
276;Carrier;9
277;NAS;14
278;Carrier;31
279;Weather;7
280;NAS;2
281;LateAircraft;35
282;Carrier;54
283;NAS;2
284;LateAircraft;24
285;Carrier;17
286;NAS;10
287;LateAircraft;3
288;Carrier;12
289;NAS;10
290;LateAircraft;41
291;Carrier;12
292;NAS;6
293;Carrier;46
294;NAS;10
295;NAS;26
296;NAS;15
297;NAS;22
298;LateAircraft;12
299;Carrier;11
300;NAS;24
302;Carrier;25
303;NAS;2
304;LateAircraft;37
305;Carrier;20
306;Carrier;73
307;NAS;5
308;NAS;59
309;Carrier;8
310;NAS;10
311;Weather;1
312;NAS;14
313;LateAircraft;93
314;LateAircraft;62
315;NAS;28
316;LateAircraft;6
317;NAS;3
318;LateAircraft;52
319;Carrier;44
320;NAS;10
321;Carrier;8
322;NAS;7
323;Weather;9
324;LateAircraft;90
325;Weather;23
326;NAS;99
327;NAS;56
328;Carrier;30
329;NAS;214
330;NAS;2
331;LateAircraft;41
332;NAS;35
333;LateAircraft;41
334;Carrier;57
335;Carrier;105
336;NAS;11
337;LateAircraft;28
338;Carrier;25
339;NAS;24
340;NAS;42
341;LateAircraft;20
342;Carrier;11
343;NAS;11
344;LateAircraft;5
345;Carrier;8
346;NAS;10
347;LateAircraft;15
348;Carrier;36
349;NAS;2
350;Carrier;9
351;LateAircraft;59
352;Carrier;203
353;Carrier;44
354;LateAircraft;65
355;NAS;7
356;LateAircraft;14
357;NAS;11
358;LateAircraft;30
359;Carrier;57
360;NAS;15
361;NAS;27
362;NAS;60
363;NAS;7
364;LateAircraft;51
365;NAS;35
366;NAS;22
367;NAS;83
368;NAS;94
369;NAS;21
370;NAS;18
371;Carrier;8
372;LateAircraft;45
373;NAS;37
374;Carrier;20
375;NAS;1
376;Carrier;61
377;NAS;4
