N214AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N505AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N208AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N457AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N469AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N524AA;;;;
N554AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N517AA;;;;
N471AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N423AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N241AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N458AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N506AA;;;;
N3AJAA;;;;
N3BTAA;;;;
N3CVAA;;;;
N546AA;;;;
N244AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4WUAA;;;;
N589AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N587AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N472AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N579AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N576AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4UCAA;;;;
N510AA;1982;CESSNA;T210N;Reciprocating
N563AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N562AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N202AA;1980;CESSNA;421C;Reciprocating
N3DDAA;;;;
N3BXAA;;;;
N3BVAA;;;;
N237AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N249AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N419AA;1986;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4XRAA;;;;
N596AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N456AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N271AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N598AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4YSAA;;;;
N494AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N248AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N486AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N622AA;1990;BOEING;757-223;Turbo-Fan
N434AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4YEAA;;;;
N3BNAA;;;;
N559AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N497AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3ALAA;;;;
N3CNAA;;;;
N4WYAA;;;;
N532AA;;;;
N474AA;1974;CESSNA;172M;4 Cycle
N488AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N536AA;;;;
N585AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N595AA;1992;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N566AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N449AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N279AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N542AA;;;;
N278AA;1985;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N516AA;;;;
N540AA;;;;
N4XAAA;;;;
N234AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5EMAA;;;;
N5FEAA;;;;
N5CEAA;;;;
N4XWAA;;;;
N507AA;1997;BAUMAN RANDY;FALCON-XP;Reciprocating
N561AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N557AA;1993;MARZ BARRY;KITFOX IV;Reciprocating
N403AA;;;;
N518AA;;;;
N526AA;;;;
N236AA;1984;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N529AA;;;;
N3CGAA;;;;
N3CHAA;;;;
N3CSAA;;;;
N528AA;;;;
N233AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N468AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N481AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N436AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N4XXAA;;;;
N572AA;1987;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
N3BYAA;;;;
N3BPAA;;;;
N555AA;;;;
N537AA;;;;
N489AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5DVAA;;;;
N5BYAA;;;;
N632AA;1990;BOEING;757-223;Turbo-Fan
N3BRAA;;;;
N3CEAA;;;;
N541AA;1982;BEECH;C90;Turbo-Prop
N464AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N520AA;;;;
N448AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N538AA;;;;
N558AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N495AA;1989;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N421AA;1962;CESSNA;421C;Reciprocating
N484AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5DYAA;;;;
N638AA;1991;BOEING;757-223;Turbo-Fan
N445AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N451AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N4XDAA;;;;
N521AA;;;;
N3AWAA;;;;
N3CXAA;;;;
N3CCAA;;;;
N343AA;1979;SIKORSKY;S-76A;Turbo-Shaft
